('1454', '101', '91', '630000019', '5178', '132'),
('1741', '276', '181', '70999999', '71596', '3000'),
('698', '78', '22', '59000001', '33186', '0'),
('2413', '75', '55', '60', '5585', '997'),
('1237', '122', '77', '630000019', '8697', '374'),
('1198', '133', '42', '45999999', '6884', '458'),
('3316', '21', '14', '530000019', '4387', '240'),
('4815', '4', '5', '40', '146', '244'),
('1460', '677', '225', '630000019', '79877', '0'),
('1223', '527', '196', '680000019', '77493', '6000'),
('4615', '410', '44', '839999962', '62756', '21000'),
('1602', '165', '81', '64000001', '15053', '393'),
('612', '31', '10', '669999981', '15730', '0'),
('471', '37', '27', '55999999', '1768', '208'),
('4735', '81', '155', '619999981', '20186', '0'),
('1878', '174', '92', '70', '26434', '0'),
('4109', '172', '265', '669999981', '156898', '22000'),
('4751', '23', '95', '50', '3119', '0'),
('3262', '301', '230', '64000001', '100837', '0'),
('2002', '158', '39', '630000019', '12675', '0'),
('3483', '302', '213', '569999981', '63493', '26000'),
('1608', '214', '137', '74000001', '19397', '0'),
('1000', '62', '36', '279999995', '8687', '0'),
('797', '173', '60', '519999981', '24790', '0'),
('1977', '297', '133', '45999999', '46417', '660'),
('389', '52', '21', '480000019', '3334', '739'),
('4630', '18', '6', '30999999', '735', '402'),
('4926', '150', '226', '480000019', '34964', '28000'),
('1745', '124', '82', '680000019', '27052', '0'),
('881', '309', '104', '80', '72443', '0'),
('2608', '149', '98', '530000019', '44103', '0'),
('128', '55', '32', '70999999', '4998', '785'),
('4693', '1290', '644', '70', '418214', '150000'),
('2003', '347', '196', '630000019', '89816', '0'),
('4760', '374', '426', '780000019', '182983', '99000'),
('1920', '286', '131', '65', '49926', '0'),
('3693', '64', '49', '329999995', '9541', '0'),
('2213', '13', '15', '719999981', '131', '30'),
('1093', '370', '102', '50999999', '58402', '0'),
('1087', '494', '39', '680000019', '1024', '140'),
('4277', '87', '162', '39000001', '8511', '0'),
('439', '34', '16', '59000001', '7900', '263'),
('635', '71', '10', '69000001', '10410', '892'),
('1129', '40', '35', '719999981', '2412', '539'),
('2154', '609', '187', '810000038', '264533', '12000'),
('2982', '168', '160', '719999981', '127760', '0'),
('98', '56', '30', '680000019', '8508', '328'),
('2286', '23', '17', '69000001', '806', '187'),
