('275', 'SomewhereinTime', '1980', 'USA', '103', 'English', 'PG', '', '5100000'),
('276', 'StarWarsEpisodeVTheEmpireStrikesBack', '1980', 'USA', '127', 'English', 'PG', '290158751', '18000000'),
('277', 'SupermanII', '1980', 'USA', '116', 'English', 'PG', '108200000', '54000000'),
('278', 'TheBlueLagoon', '1980', 'USA', '104', 'English', 'R', '', '4500000'),
('279', 'TheBluesBrothers', '1980', 'USA', '148', 'English', 'R', '54200000', '27000000'),
('280', 'TheElephantMan', '1980', 'USA', '124', 'English', 'PG', '', '5000000'),
('281', 'TheFog', '1980', 'USA', '89', 'English', 'R', '21378000', '1000000'),
('282', 'TheFog', '1980', 'USA', '89', 'English', 'R', '21378000', '1000000'),
('283', 'TheLongRiders', '1980', 'USA', '100', 'English', 'R', '', '10000000'),
('284', 'TheShining', '1980', 'USA', '146', 'English', 'R', '', '19000000'),
('285', 'BlowOut', '1981', 'USA', '107', 'English', 'R', '', '18000000'),
('286', 'ChariotsofFire', '1981', 'UK', '125', 'English', 'PG', '58800000', '5500000'),
('287', 'DasBoot', '1981', 'WestGermany', '293', 'German', 'R', '11433134', '14000000'),
('288', 'Dragonslayer', '1981', 'USA', '108', 'English', 'PG', '6000000', '18000000'),
('289', 'EscapefromNewYork', '1981', 'UK', '106', 'English', 'R', '25244700', '6000000'),
('290', 'ForYourEyesOnly', '1981', 'UK', '127', 'English', 'PG', '62300000', '28000000'),
('291', 'Fridaythe13thPart2', '1981', 'USA', '87', 'English', 'R', '19100000', '1250000'),
('292', 'GraduationDay', '1981', 'USA', '96', 'English', 'R', '', '250000'),
('293', 'Heartbeeps', '1981', 'USA', '78', 'English', 'PG', '', '10000000'),
('294', 'HeavyMetal', '1981', 'Canada', '90', 'English', 'R', '', '9300000'),
('295', 'HistoryoftheWorldPartI', '1981', 'USA', '92', 'English', 'R', '', '11000000'),
('296', 'HistoryoftheWorldPartI', '1981', 'USA', '92', 'English', 'R', '', '11000000'),
('297', 'Inchon', '1981', 'SouthKorea', '140', 'English', 'PG', '', '48000000'),
('298', 'MadMax2TheRoadWarrior', '1981', 'Australia', '87', 'English', 'R', '9003011', '2000000'),
('299', 'ModernProblems', '1981', 'USA', '93', 'English', 'PG', '', '8000000'),
('300', 'MommieDearest', '1981', 'USA', '129', 'English', 'R', '', '5000000'),
('301', 'Nighthawks', '1981', 'USA', '99', 'English', 'R', '', '5000000'),
('302', 'Porkys', '1981', 'Canada', '94', 'English', 'R', '105500000', '4000000'),
('303', 'QuestforFire', '1981', 'Canada', '100', 'None', 'R', '', '12500000'),
('304', 'RaidersoftheLostArk', '1981', 'USA', '115', 'English', 'PG', '242374454', '18000000'),
('305', 'Reds', '1981', 'USA', '195', 'English', 'PG', '', '35000000'),
('306', 'Roar', '1981', 'USA', '102', 'English', 'PG', '2000000', '17000000'),
('307', 'Sphinx', '1981', 'USA', '118', 'English', 'PG', '800000', '14000000'),
('308', 'Stripes', '1981', 'USA', '117', 'English', 'R', '85300000', '10000000'),
('309', 'TheBeyond', '1981', 'Italy', '82', 'Italian', 'X', '126387', '400000'),
